nov 10/21:57:21.853 DEBUG2 : 		

StartSession()

nov 10/21:57:21.853 INFO   : Debug Log(info): Loading the I-jet driver
nov 10/21:57:21.853 DEBUG2 : 		-> ConnectToHardware()
nov 10/21:57:21.853 DEBUG2 : 		-> CreateJetTerminal()
nov 10/21:57:21.853 DEBUG2 : 		<- CreateJetTerminal()
nov 10/21:57:21.853 DEBUG2 : 		-> AcquireSigAPIPtr()
nov 10/21:57:21.853 DEBUG2 : 		  SigAPISetPath('C:\Program Files\IAR Systems\Embedded Workbench 9.1\arm\bin\jet\bin')
nov 10/21:57:21.855 DEBUG2 : 		<- AcquireSigAPIPtr()
nov 10/21:57:21.855 DEBUG2 : 		-> CreateSigProbe()
nov 10/21:57:21.856 DEBUG2 : 		  SigProbe version: 1.66
nov 10/21:57:21.856 DEBUG2 : 		<- CreateSigProbe()
nov 10/21:57:21.856 DEBUG2 : 		-> SigProbeInit()
nov 10/21:57:21.856 DEBUG2 : 		<- SigProbeInit()
nov 10/21:57:21.856 INFO   : Debug Log(info): Probe: Probe SW module ver 1.66

nov 10/21:57:21.856 INFO   : Probe: Probe SW module ver 1.66

nov 10/21:57:21.856 INFO   : Debug Log(info): Probe: Option: trace(Auto,size_limit=100%)

nov 10/21:57:21.856 INFO   : Probe: Option: trace(Auto,size_limit=100%)

nov 10/21:57:21.856 DEBUG2 : 		-> ConnectToProbe()
nov 10/21:57:21.856 DEBUG2 : 		  ISigProbe::EnumScan()
nov 10/21:57:21.863 INFO   : Debug Log(info): Probe: Found I-jet, SN=91736

nov 10/21:57:21.863 INFO   : Probe: Found I-jet, SN=91736

nov 10/21:57:21.863 DEBUG2 : 		  scanning finished: found 1 probes
nov 10/21:57:21.863 DEBUG2 : 		    connection Serial No: 91736
nov 10/21:57:21.863 DEBUG2 : 		    connection found probes: 
nov 10/21:57:21.873 INFO   : Debug Log(info): Probe: Opened connection to I-jet:91736

nov 10/21:57:21.873 INFO   : Probe: Opened connection to I-jet:91736

nov 10/21:57:21.898 INFO   : Debug Log(info): Probe: USB connection verified (13924 packets/s)

nov 10/21:57:21.898 INFO   : Probe: USB connection verified (13924 packets/s)

nov 10/21:57:21.898 INFO   : Debug Log(info): Probe: I-jet, FW ver 8.2, HW Ver:B

nov 10/21:57:21.898 INFO   : Probe: I-jet, FW ver 8.2, HW Ver:B

nov 10/21:57:21.901 INFO   : Debug Log(info): Probe: None or IJET-MIPI10 adapter detected

nov 10/21:57:21.901 INFO   : Probe: None or IJET-MIPI10 adapter detected

nov 10/21:57:21.901 INFO   : Debug Log(info): Probe: Versions: JTAG=1.92 SWO=1.41 A2D=1.74 Stream=1.52 SigCom=2.46

nov 10/21:57:21.901 INFO   : Probe: Versions: JTAG=1.92 SWO=1.41 A2D=1.74 Stream=1.52 SigCom=2.46

nov 10/21:57:21.901 DEBUG2 : 		<- ConnectToProbe()
nov 10/21:57:21.901 DEBUG2 : 		-> CreateSigEmus()
nov 10/21:57:21.901 DEBUG2 : 		  ISigAPI::CreateInstance('ISigEmu', 'EARM', '')
nov 10/21:57:21.902 DEBUG2 : 		Core 0: sigEmu->LinkAttach(ISigProbe)
nov 10/21:57:21.902 DEBUG2 : 		  core 0: IsigEmu::ParamSet('Emulator', 'ijet')
nov 10/21:57:21.902 DEBUG2 : 		  core 0: IsigEmu::ParamSet('Processor', 'Cortex-M0+')
nov 10/21:57:21.902 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JtagHeader', 'ARM-SWD')
nov 10/21:57:21.902 DEBUG2 : 		  core 0: IsigEmu::ParamSet('CoreSightSWJ', 'SWD')
nov 10/21:57:21.902 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JTagSpeed', 'auto')
nov 10/21:57:21.902 DEBUG2 : 		  core 0: IsigEmu::ParamSet('BoardCfg', '-auto')
nov 10/21:57:21.902 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JtagInitDelay', '200,r:300')
nov 10/21:57:21.902 DEBUG2 : 		  core 0: IsigEmu::ParamSet('BigEndian', '0')
nov 10/21:57:21.902 DEBUG2 : 		  ISigEmu::LinkAttach('SigTerminalLog'...)
nov 10/21:57:21.902 DEBUG2 : 		Core 0: sigEmu->LinkAttach(SigTerminalLog)
nov 10/21:57:21.902 DEBUG2 : 		<- CreateSigEmus()
nov 10/21:57:21.902 DEBUG2 : 		-> CreateInterfaceComProtocol()
nov 10/21:57:21.902 DEBUG2 : 		  ISigProbe::AcquireInterface('ComProtocol')
nov 10/21:57:21.902 DEBUG2 : 		<- CreateInterfaceComProtocol()
nov 10/21:57:21.902 DEBUG2 : 		-> CollectCoreNames()
nov 10/21:57:21.902 DEBUG2 : 		<- CollectCoreNames()
nov 10/21:57:21.902 DEBUG2 : 		-> DoIceConnect()
nov 10/21:57:21.902 DEBUG2 : 		  core 0: IsigEmu::ParamSet('BoardDID', '')
nov 10/21:57:21.902 DEBUG2 : 		Core 0: IceConnect(...)
nov 10/21:57:21.903 DEBUG2 : 		<- DoIceConnect()
nov 10/21:57:21.903 DEBUG2 : 		-> DoIceInit()
nov 10/21:57:21.903 DEBUG2 : 		Core 0: IceInit(...)
nov 10/21:57:21.904 DEBUG2 : 		ISigEmu::IceVersion(1ff)
nov 10/21:57:21.904 INFO   : Debug Log(info): Emulation layer version 5.11
nov 10/21:57:21.904 DEBUG2 : 		ISigEmu::IceStatus(0)
nov 10/21:57:21.904 DEBUG2 : 		<- DoIceInit()
nov 10/21:57:21.904 DEBUG2 : 		-> CreateCmdInterpreter()
nov 10/21:57:21.904 DEBUG2 : 		  ISigProbe::CreateInstance(..., 'SigCmdInterpreter', '')
nov 10/21:57:21.904 DEBUG2 : 		<- CreateCmdInterpreter()
nov 10/21:57:21.904 DEBUG2 : 		  ISigCmdInterpreter::LinkAttach('ISigEmu',...)
nov 10/21:57:21.904 DEBUG2 : 		-> AcquireA2DInterface()
nov 10/21:57:21.904 DEBUG2 : 		  ISigProbe::AcquireInterface('ISigA2D')
nov 10/21:57:21.904 DEBUG2 : 		  ISigA2D::LinkAttach('SigEmu',...)
nov 10/21:57:21.904 DEBUG2 : 		  ISigA2D::LinkAttach('SigTerminalLog',...)
nov 10/21:57:21.904 DEBUG2 : 		  ISigA2D::Init('null')
nov 10/21:57:22.152 INFO   : Debug Log(info): SWD clock detected: 12MHz

nov 10/21:57:22.152 INFO   : SWD clock detected: 12MHz

nov 10/21:57:22.153 INFO   : Debug Log(info): Notification to core-connect hookup.

nov 10/21:57:22.153 INFO   : Notification to core-connect hookup.

nov 10/21:57:22.153 DEBUG2 : 		>Calling _ExecDeviceCoreConnect
nov 10/21:57:22.153 DEBUG2 : 		ISigCmdInterpreter::Execute('/noerror dap.RDPr 0')
