nov 10/21:58:56.287 DEBUG2 : 		

StartSession()

nov 10/21:58:56.287 INFO   : Debug Log(info): Loading the I-jet driver
nov 10/21:58:56.287 DEBUG2 : 		-> ConnectToHardware()
nov 10/21:58:56.287 DEBUG2 : 		-> CreateJetTerminal()
nov 10/21:58:56.287 DEBUG2 : 		<- CreateJetTerminal()
nov 10/21:58:56.287 DEBUG2 : 		-> AcquireSigAPIPtr()
nov 10/21:58:56.287 DEBUG2 : 		  SigAPISetPath('C:\Program Files\IAR Systems\Embedded Workbench 9.1\arm\bin\jet\bin')
nov 10/21:58:56.289 DEBUG2 : 		<- AcquireSigAPIPtr()
nov 10/21:58:56.289 DEBUG2 : 		-> CreateSigProbe()
nov 10/21:58:56.290 DEBUG2 : 		  SigProbe version: 1.66
nov 10/21:58:56.290 DEBUG2 : 		<- CreateSigProbe()
nov 10/21:58:56.290 DEBUG2 : 		-> SigProbeInit()
nov 10/21:58:56.291 DEBUG2 : 		<- SigProbeInit()
nov 10/21:58:56.291 INFO   : Debug Log(info): Probe: Probe SW module ver 1.66

nov 10/21:58:56.291 INFO   : Probe: Probe SW module ver 1.66

nov 10/21:58:56.291 INFO   : Debug Log(info): Probe: Option: trace(Auto,size_limit=100%)

nov 10/21:58:56.291 INFO   : Probe: Option: trace(Auto,size_limit=100%)

nov 10/21:58:56.291 DEBUG2 : 		-> ConnectToProbe()
nov 10/21:58:56.291 DEBUG2 : 		  ISigProbe::EnumScan()
nov 10/21:58:56.299 INFO   : Debug Log(info): Probe: Found I-jet, SN=91736

nov 10/21:58:56.299 INFO   : Probe: Found I-jet, SN=91736

nov 10/21:58:56.299 DEBUG2 : 		  scanning finished: found 1 probes
nov 10/21:58:56.299 DEBUG2 : 		    connection Serial No: 91736
nov 10/21:58:56.300 DEBUG2 : 		    connection found probes: 
nov 10/21:58:56.320 INFO   : Debug Log(info): Probe: Opened first shared connection to I-jet:91736

nov 10/21:58:56.320 INFO   : Probe: Opened first shared connection to I-jet:91736

nov 10/21:58:56.343 INFO   : Debug Log(info): Probe: USB connection verified (17971 packets/s)

nov 10/21:58:56.343 INFO   : Probe: USB connection verified (17971 packets/s)

nov 10/21:58:56.343 INFO   : Debug Log(info): Probe: I-jet, FW ver 8.2, HW Ver:B

nov 10/21:58:56.343 INFO   : Probe: I-jet, FW ver 8.2, HW Ver:B

nov 10/21:58:58.352 INFO   : Debug Log(info): Probe: USB test OK (reading speed 11.3MB/s)

nov 10/21:58:58.352 INFO   : Probe: USB test OK (reading speed 11.3MB/s)

nov 10/21:58:58.354 INFO   : Debug Log(info): Probe: A2D SW module ver 1.74

nov 10/21:58:58.355 INFO   : Probe: A2D SW module ver 1.74

nov 10/21:58:58.357 INFO   : Debug Log(info): Probe: SWO SW module ver 1.41

nov 10/21:58:58.357 INFO   : Probe: SWO SW module ver 1.41

nov 10/21:58:58.357 INFO   : Debug Log(info): Probe: Stream SW module ver 1.52

nov 10/21:58:58.357 INFO   : Probe: Stream SW module ver 1.52

nov 10/21:58:58.357 INFO   : Debug Log(info): Probe: JTAG SW module ver 1.92

nov 10/21:58:58.357 INFO   : Probe: JTAG SW module ver 1.92

nov 10/21:58:58.358 INFO   : Debug Log(info): Probe: None or IJET-MIPI10 adapter detected

nov 10/21:58:58.358 INFO   : Probe: None or IJET-MIPI10 adapter detected

