nov 10/21:59:46.996 DEBUG2 : 		

StartSession()

nov 10/21:59:46.996 INFO   : Debug Log(info): Loading the I-jet driver
nov 10/21:59:46.996 DEBUG2 : 		-> ConnectToHardware()
nov 10/21:59:46.996 DEBUG2 : 		-> CreateJetTerminal()
nov 10/21:59:46.996 DEBUG2 : 		<- CreateJetTerminal()
nov 10/21:59:46.996 DEBUG2 : 		-> AcquireSigAPIPtr()
nov 10/21:59:46.996 DEBUG2 : 		  SigAPISetPath('C:\Program Files\IAR Systems\Embedded Workbench 9.1\arm\bin\jet\bin')
nov 10/21:59:46.998 DEBUG2 : 		<- AcquireSigAPIPtr()
nov 10/21:59:46.998 DEBUG2 : 		-> CreateSigProbe()
nov 10/21:59:46.999 DEBUG2 : 		  SigProbe version: 1.66
nov 10/21:59:46.999 DEBUG2 : 		<- CreateSigProbe()
nov 10/21:59:46.999 DEBUG2 : 		-> SigProbeInit()
nov 10/21:59:46.999 DEBUG2 : 		<- SigProbeInit()
nov 10/21:59:46.999 INFO   : Debug Log(info): Probe: Probe SW module ver 1.66

nov 10/21:59:46.999 INFO   : Probe: Probe SW module ver 1.66

nov 10/21:59:46.999 INFO   : Debug Log(info): Probe: Option: trace(Auto,size_limit=100%)

nov 10/21:59:46.999 INFO   : Probe: Option: trace(Auto,size_limit=100%)

nov 10/21:59:46.999 DEBUG2 : 		-> ConnectToProbe()
nov 10/21:59:46.999 DEBUG2 : 		  ISigProbe::EnumScan()
nov 10/21:59:47.005 INFO   : Debug Log(info): Probe: Found I-jet, SN=91736

nov 10/21:59:47.005 INFO   : Probe: Found I-jet, SN=91736

nov 10/21:59:47.005 DEBUG2 : 		  scanning finished: found 1 probes
nov 10/21:59:47.006 DEBUG2 : 		    connection Serial No: 91736
nov 10/21:59:47.006 DEBUG2 : 		    connection found probes: 
nov 10/21:59:47.016 INFO   : Debug Log(info): Probe: Opened connection to I-jet:91736

nov 10/21:59:47.016 INFO   : Probe: Opened connection to I-jet:91736

nov 10/21:59:47.042 INFO   : Debug Log(info): Probe: USB connection verified (13328 packets/s)

nov 10/21:59:47.042 INFO   : Probe: USB connection verified (13328 packets/s)

nov 10/21:59:47.042 INFO   : Debug Log(info): Probe: I-jet, FW ver 8.2, HW Ver:B

nov 10/21:59:47.042 INFO   : Probe: I-jet, FW ver 8.2, HW Ver:B

nov 10/21:59:47.045 INFO   : Debug Log(info): Probe: None or IJET-MIPI10 adapter detected

nov 10/21:59:47.045 INFO   : Probe: None or IJET-MIPI10 adapter detected

nov 10/21:59:47.045 INFO   : Debug Log(info): Probe: Versions: JTAG=1.92 SWO=1.41 A2D=1.74 Stream=1.52 SigCom=2.46

nov 10/21:59:47.045 INFO   : Probe: Versions: JTAG=1.92 SWO=1.41 A2D=1.74 Stream=1.52 SigCom=2.46

nov 10/21:59:47.045 DEBUG2 : 		<- ConnectToProbe()
nov 10/21:59:47.045 DEBUG2 : 		-> CreateSigEmus()
nov 10/21:59:47.045 DEBUG2 : 		  ISigAPI::CreateInstance('ISigEmu', 'EARM', '')
nov 10/21:59:47.045 DEBUG2 : 		Core 0: sigEmu->LinkAttach(ISigProbe)
nov 10/21:59:47.045 DEBUG2 : 		  core 0: IsigEmu::ParamSet('Emulator', 'ijet')
nov 10/21:59:47.045 DEBUG2 : 		  core 0: IsigEmu::ParamSet('Processor', 'Cortex-M4')
nov 10/21:59:47.045 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JtagHeader', 'ARM-SWD')
nov 10/21:59:47.045 DEBUG2 : 		  core 0: IsigEmu::ParamSet('CoreSightSWJ', 'SWD')
nov 10/21:59:47.045 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JTagSpeed', 'auto')
nov 10/21:59:47.045 DEBUG2 : 		  core 0: IsigEmu::ParamSet('BoardCfg', 'C:\Program Files\IAR Systems\Embedded Workbench 9.1\arm/config/debugger/Infineon/CYT2.ProbeConfig')
nov 10/21:59:47.045 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JtagInitDelay', '200,r:300')
nov 10/21:59:47.046 DEBUG2 : 		  core 0: IsigEmu::ParamSet('BigEndian', '0')
nov 10/21:59:47.046 DEBUG2 : 		  ISigEmu::LinkAttach('SigTerminalLog'...)
nov 10/21:59:47.046 DEBUG2 : 		Core 0: sigEmu->LinkAttach(SigTerminalLog)
nov 10/21:59:47.046 DEBUG2 : 		<- CreateSigEmus()
nov 10/21:59:47.046 DEBUG2 : 		-> CreateInterfaceComProtocol()
nov 10/21:59:47.046 DEBUG2 : 		  ISigProbe::AcquireInterface('ComProtocol')
nov 10/21:59:47.046 DEBUG2 : 		<- CreateInterfaceComProtocol()
nov 10/21:59:47.046 DEBUG2 : 		-> CollectCoreNames()
nov 10/21:59:47.046 DEBUG2 : 		<- CollectCoreNames()
nov 10/21:59:47.046 DEBUG2 : 		-> DoIceConnect()
nov 10/21:59:47.046 DEBUG2 : 		  core 0: IsigEmu::ParamSet('BoardDID', 'M4')
nov 10/21:59:47.046 DEBUG2 : 		Core 0: IceConnect(...)
nov 10/21:59:47.046 DEBUG2 : 		<- DoIceConnect()
nov 10/21:59:47.046 DEBUG2 : 		-> DoIceInit()
nov 10/21:59:47.046 DEBUG2 : 		Core 0: IceInit(...)
nov 10/21:59:47.047 DEBUG2 : 		ISigEmu::IceVersion(1ff)
nov 10/21:59:47.047 INFO   : Debug Log(info): Emulation layer version 5.11
nov 10/21:59:47.047 DEBUG2 : 		ISigEmu::IceStatus(0)
nov 10/21:59:47.047 DEBUG2 : 		<- DoIceInit()
nov 10/21:59:47.047 DEBUG2 : 		-> CreateCmdInterpreter()
nov 10/21:59:47.047 DEBUG2 : 		  ISigProbe::CreateInstance(..., 'SigCmdInterpreter', '')
nov 10/21:59:47.048 DEBUG2 : 		<- CreateCmdInterpreter()
nov 10/21:59:47.048 DEBUG2 : 		  ISigCmdInterpreter::LinkAttach('ISigEmu',...)
nov 10/21:59:47.048 DEBUG2 : 		-> AcquireA2DInterface()
nov 10/21:59:47.048 DEBUG2 : 		  ISigProbe::AcquireInterface('ISigA2D')
nov 10/21:59:47.048 DEBUG2 : 		  ISigA2D::LinkAttach('SigEmu',...)
nov 10/21:59:47.048 DEBUG2 : 		  ISigA2D::LinkAttach('SigTerminalLog',...)
nov 10/21:59:47.048 DEBUG2 : 		  ISigA2D::Init('null')
nov 10/21:59:47.296 INFO   : Debug Log(info): SWD clock detected: 12MHz

nov 10/21:59:47.296 INFO   : SWD clock detected: 12MHz

nov 10/21:59:47.296 INFO   : Debug Log(info): Notification to core-connect hookup.

nov 10/21:59:47.296 INFO   : Notification to core-connect hookup.

nov 10/21:59:47.296 DEBUG2 : 		>Calling _ExecDeviceCoreConnect
nov 10/21:59:47.296 DEBUG2 : 		ISigCmdInterpreter::Execute('/noerror dap.RDPr 0')
nov 10/21:59:47.297 INFO   : Debug Log(info): Connected DAP v2 on SWD. Detected DP ID=0x6ba02477.

nov 10/21:59:47.297 INFO   : Connected DAP v2 on SWD. Detected DP ID=0x6ba02477.

nov 10/21:59:47.298 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.APr 0 0x1')
nov 10/21:59:47.298 DEBUG2 : 		<Call to _ExecDeviceCoreConnect completed successfully
nov 10/21:59:47.298 DEBUG2 : 		<Call to execUserCoreConnect: macro undefined
nov 10/21:59:47.299 INFO   : Debug Log(info): Connecting to TAP#0 DAP AHB-AP-CM port 0x2 (IDR=0x2477'0011).

nov 10/21:59:47.299 INFO   : Connecting to TAP#0 DAP AHB-AP-CM port 0x2 (IDR=0x2477'0011).

nov 10/21:59:47.300 INFO   : Debug Log(info): Recognized CPUID=0x410fc241 Cortex-M4 r0p1 arch ARMv7-M

nov 10/21:59:47.300 INFO   : Recognized CPUID=0x410fc241 Cortex-M4 r0p1 arch ARMv7-M

nov 10/21:59:47.301 INFO   : Debug Log(info): Debug resources: 6 instruction comparators, 4 data watchpoints.

nov 10/21:59:47.301 INFO   : Debug resources: 6 instruction comparators, 4 data watchpoints.

nov 10/21:59:47.306 DEBUG2 : 		  ConnectToHardware(), checking status (#1): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
nov 10/21:59:47.306 INFO   : Debug Log(minor): CPU status OK
nov 10/21:59:47.306 DEBUG2 : 		<- AcquireA2DInterface()
nov 10/21:59:47.306 DEBUG2 : 		-> AcquireEmuVectInterface()
nov 10/21:59:47.306 DEBUG2 : 		  ISigEmu::AcquireInterface('ISigEmuVect') (core 0)
nov 10/21:59:47.306 DEBUG2 : 		<- AcquireEmuVectInterface()
nov 10/21:59:47.306 DEBUG2 : 		-> AcquireEmuWptInterface()
nov 10/21:59:47.306 DEBUG2 : 		  ISigEmu::AcquireInterface('ISigEmuWpt')
nov 10/21:59:47.306 DEBUG2 : 		<- AcquireEmuWptInterface()
nov 10/21:59:47.306 DEBUG2 : 		-> AcquirePcSamplerInterface()
nov 10/21:59:47.306 DEBUG2 : 		  ISigEmu::AcquireInterface('ISigPcSampler')
nov 10/21:59:47.306 DEBUG2 : 		<- AcquirePcSamplerInterface()
nov 10/21:59:47.306 DEBUG2 : 		<- ConnectToHardware()
nov 10/21:59:47.306 DEBUG2 : 		>Calling _ExecDevicePreReset
nov 10/21:59:47.306 DEBUG2 : 		ISigCmdInterpreter::Execute('/noerror dap.r 0x17000000 1')
nov 10/21:59:47.307 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0xf0000fec 0x01')
nov 10/21:59:47.307 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0x17002004 0x01')
nov 10/21:59:47.308 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0x17007df8 0x01')
nov 10/21:59:47.308 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0x402020c4 0x01')
nov 10/21:59:47.308 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0x17002018 0x01')
nov 10/21:59:47.308 DEBUG2 : 		ISigCmdInterpreter::Execute('dap.r 0xf0000fe0 0x01')
